index,title,service_area,category_1,category_2,category_3,contact_name,contact_number,contact_email,address,url,description
123,FTP Mutual Aid BX,Bronx,food,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLScBiurVyYXe3YNyhduT1ful-gKZ4YzvrERGgyMX7UI4cDxeyg/viewform,Delivery of $30 of groceries / toiletries / PPE to Bronx residents
124,Invisible Hands,NYC,food,medicine,,,(732) 639-1579,InvisibleHandsDeliver@gmail.com,,https://u1584542.ct.sendgrid.net/mps2/c/HgE/ni0YAA/t.305/s5ztoEfWTX6JaZOZs2e7dA/h7/gTifEO5WwO1jkfqUXbJvZeu8amq3j1gA0wYZ-2FpywBd3S73nxk0tD1NWNLMIwVE0lwYk7QR-2B-2Fx7mPDD5RyFr2Yn04N2NUW5suxDrjtDKtqZX0yTq-2BqGY4BFUsIZJwShqTORJpaCgISisrEzR3Mh1hv7qgX9pPYsubRDJsMx0XxX0wGyYsqZ9DG4u3REDKrSFCS6Cekkw-2BtkpoEh-2BOF0SY5B144333Zq7vdoY1N1LG8EP9aKa2sduXgVjdv-2FgYX1NoBNBAAw44Zl1PYHZrVewBMdMFZKptNDKOIMttMTs4JtemeX9gcFHQwrIi6nCchDZ7/wH0W,"Safe, free deliveries for at-risk NYC residents (no texts, please)"
125,Local Roots,NYC,food,,,,,info@localroots.nyc,,https://www.instagram.com/p/B942yNpB2uG/,Vegetable boxes to restaurant / healthcare workers
126,NYC.gov's food resources,NYC,food,,,,,,,http://www.nyc.gov/getfood,NYC city government food resource list
127,FoodHelp NYC,NYC,food,,,,,,,https://dsny.maps.arcgis.com/apps/webappviewer/index.html?id=35901167a9d84fb0a2e0672d344f176f,Map of free food resources around the city
128,Access HRA,NYC,food,legal,policy,,,,,https://a069-access.nyc.gov/accesshra/,Apply for SNAP benefits / cash assitance
129,HelpNowNYC,NYC,food,,,,,,,https://www1.nyc.gov/site/helpnownyc/index.page,Ways to donate food / cash / supplies to people in need
130,NYC Food Delivery Assistance,NYC,food,,,,,,,https://cv19engagementportal.cityofnewyork.us/#/display/5e7555117ad6750216160409,Delivery of emergency meals
131,The Okra Project,NYC,food,lgbtqi+,poc,,,,,https://forms.gle/muhNzJusqwC1G8kz9,Delivery of free food / supply kits to black trans / GNC people in NYC
132,Plentiful,NYC,food,,,,,,,https://www.plentifulapp.com/,Food pantry locator app
133,Soup Kitchens/Food Pantries Master List,NYC,food,,,,,,,https://docs.google.com/spreadsheets/d/11sRdUqjlWg7gqZBNVq87Y7Hnfrf4s3fBnbANoxeWUSI/edit?fbclid=IwAR2PVY85S3GZuAHdv1byh1Xnm4h17CHBH6nWlskFmZbZYHYz-u_8LL_QlGw#gid=273331901,Master list of soup kitchens in NYC
134,Coronavirus Pandemic Electronic Benefit Transfer (P-EBT) Food Benefits,NYC,food,,,,,,,https://otda.ny.gov/SNAP-COVID-19/Frequently-Asked-Questions-Pandemic-EBT.asp,$5.70 per day in cash assistance to make up for meals missed during the school year
135,Free pad and tampon distribution at 211 Meal Hubs,NYC,women,womens-health,,,,,,https://www.schools.nyc.gov/school-life/health-and-wellness/coronavirus-update/hygiene-products,Free pad / tampon distribution
136,Thai Farm Kitchen,Brooklyn,food,presceptions,vulnerable-populations,,,,,https://www.facebook.com/thaifarmkitchen/,"Free deliveries / lunches to elderly, disabled, and immunocompromised people within 1 mile of Thai Farm Kitchen's restaurant (on Church & 5th)"
137,World Central Kitchen,NYC,food,,,,,,,https://wck.org/news/thebronx,"Free healthy meal distribution in multiple locations in The Bronx, Queens, Harlem, Brooklyn, and New Jersey"
138,Universe City NYC Community Aid Network for East Brooklyn,Brooklyn,food,unhoused,homeless,Franklyn Mena,347-652-5130,fam@universecity.nyc,,https://eastnewyork.com/east-new-york-and-brownsville-free-fresh-food-pickup-locations-for-residents,Food pantry / hot meal pickups. Offered to shelter residents / NYCHA residents on a sliding scale
139,Self-care tips if you become sick with COVID-19 from an activist nurse,National,covid,advice,mental-health,,,,,http://bit.ly/33iG8yr,Self-care tips for those infected with COVID-19
140,Self-care tips Spanish language version,National,covid,advice,mental-health,,,,,https://drive.google.com/open?id=1XIrWAf3msCYidXvEZ0B6SGoD2kMD2m5J,Self-care tips for those infected with COVID-19 (Espanol)
141,Landlord Watch COVID-19 Response,NYC,legal,legal,housing,,,,,https://landlordwatch-covid19.webflow.io/,Resources for dealing with predatory landlords during the COVID-19 crisis
142,Rent Strike Toolkit,National,legal,legal,housing,,,,,https://d3n8a8pro7vhmx.cloudfront.net/righttocounselnyc/pages/100/attachments/original/1585739362/RTCNYC.COVID19.4.pdf?1585739362,Guide to the COVID-19 related rent strike
143,Suing your Landlord for home repairs,NYC,legal,legal,housing,,311,,,https://app.justfix.nyc/en/ehp/splash,"How to sue your landlord if they fail to make emergency repairs on your home (Can call 311 9a-5p, M-F)"
144,"Huelga de Renta, Guia y Recursos",NYC,legal,legal,housing,,,,,https://docs.google.com/document/d/11MbSwedhh9j3iKSVvC7BlATJHFadv9jJXXKi_IsZPtg/edit,"Renter's rights guide, in Spanish (Espanol)"
145,E4F - Equality for Flatbush,Brooklyn,financial-support,food,medicine,,,,,http://www.equalityforflatbush.org,Hub for Equality for Flatbush
146,Report hate crimes here,National,legal,,,,,,,https://www.standagainsthatred.org/,Site for repoting hate crimes / discrimination
147,Talking to kids about COVID-19 trauma,National,covid,childcare,advice,,,,,https://services.blimessaging.com/201208/viewaswebpage/viewaswebpage.aspx?unqid=55e30320-bc67-ea11-acc4-000c295a2555,How to communicate with children about COVID-19
148,AA Meetings Online ,National,mental-health,substance-abuse,,,,,,https://docs.google.com/document/d/1a71ccw7ihaWelksKwOp4AzAkYlVqSoKiN6Gsm38bKMU/mobilebasic,Online meetings of Alcoholics Anonymous
149,Crisis Text Line,National,mental-health,,,,,,,https://www.crisistextline.org/referrals,"Free text-based emotional support for suicide, depression, anxiety, and other issues"
150,Instagram-live Fitness,National,exercise,,,,,,,https://docs.google.com/spreadsheets/d/1BbiB2hdQiYaoPqQeWgMCDcAR6GPOSMGUDApsMkPIX9g/edit?fbclid=IwAR0Z2r-pEnq8Y9iULglcIIcwEoeMofrM9kZn1BgolThc7f7E2ivi9zVGnwM#gid=0,Free exercise / fitness lessons on Instagram
151,Grounding Exercises,National,mental-health,exercise,,,,,,https://www.healthline.com/health/grounding-techniques#physical-techniques,Grounding / mindfulness exercises to deal with stress
152,7 Ways to Calm,national,mental-health,exercise,,,,,,https://drsarahallen.com/7-ways-to-calm/,7 mindfulness exercises to help calm yourself
153,10 free activist ebooks,National,resources,activism,,,,,,https://www.haymarketbooks.org/blogs/112-ten-free-ebooks-from-haymarket-books,10 free activist books from Haymarket Books
154,Managing Anxiety about the Coronavirus,National,mental-health,exercise,,,,,,http://sptracking.alp.org/f/a/yCh-_GlatDRaVRiPlNtHBg~~/AAPuPAA~/RgRgUjIkP0RCaHR0cHM6Ly9hbHAub3JnL21vZHVsZXMvY2l2aWNybS9leHRlcm4vdXJsLnBocD91PTU0NTIyJnFpZD0yMjMyODU2VwNzcGNCCgAApP5wXrU6q7pSFGltYW5paGVucnlAeWFob28uY29tWAQAAAAA,A podcast from Therapy for Black Girls
155,MINKA Brooklyn,Brooklyn,mental-health,exercise,,,,triciabendavies@gmail.com,,https://www.instagram.com/p/B9sSAC2j-W6/?utm_source=ig_web_copy_link,Distance reiki sessions. No one will be turned away for lack of funds.
156,Resources for Drug Use and COVID-19 Risk Reduction,NYC,mental-health,substance-abuse,,,,nycdsahr@gmail.com,,https://www.vitalstrategies.org/drug-use-covid-resources/,"Resources for drug-use risk reduction during COVID-19. Fentanyl strips, clean needles, etc."
157,COVID-19 Resources for Undocumented Communities,National,undocumented-people,financial-support,food,,,,,https://docs.google.com/spreadsheets/d/18p9OSlLpSYanIoUC-gEbhVbRMYVUfw4wyrixa9ekGdc/edit?fbclid=IwAR1Dn8RcQe83d638tcozjFUHQvdfMIfbiH5xk-7pZOgPiqaa7tIM1hxGReY#gid=0,National directory of resources for undocumented people
158,Healthcare Access for Undocumented Folks in the Time of COVID19 (from United We Dream),National,undocumented-people,legal,advice,,,,,https://unitedwedream.org/2020/03/healthcare-access-for-undocumented-folks-in-the-time-of-covid19/?fbclid=IwAR1U2B7DSvI-pRkg--DxuYzbRRjzOOHrWjMgMpEv7ib9vZtwkdi8C2lERPQ,National guide to policies affected undocumented peoples' access to care
159,Immigrants Rising - Resource List (English),National,undocumented-people,financial-support,food,,,,,https://docs.google.com/document/d/1PxLuuH0-hwHXftUXuEi52Q1qWUDegN8_I1L4ulIFwzk/preview,"Resource list for immigrants / undocumented people, including mental health, financial resources, and legal rights"
160,Immigrants Rising - Recursos en español sobre COVID-19,National,undocumented-people,financial-support,food,,,,,https://docs.google.com/document/d/1E0M9FfcQu40DMzVjRzl5eUVt_UKwVz94H5ApV_tZEh8/edit,"Resource list for immigrants / undocumented people, including mental health, financial resources, and legal rights -- in Spanish (Espanol)"
161,Informed Immigrant Resource List,National,undocumented-people,financial-support,food,,,,,https://www.informedimmigrant.com/guides/coronavirus/?fbclid=IwAR2FfNqeR-jnOEMCv4osdX5E6vq2JgDn0yTHmoQ37U5-6pQjg6HIUiV5TaM#,State-by-State list of resources for immigrants
162,New York State Youth Leadership Council - List of Resources,New York State,undocumented-people,financial-support,food,,,,,https://docs.google.com/document/d/1qilwSmaqELoyPc9-a1ka82aXAq3HDlWvbYEzwsKNNL0/edit,"Resources related to New York State law, policy, and resources for Immigrants"
163,UPROSE Small Business Resources,National,jobs,business,legal,,,,,https://drive.google.com/file/d/1FxyKj1JFny4_KcowkUf6riWuTO85pI9b/view?usp=sharing,"Info on small business / non-profit assistance including labor rights, benefits, taxes, and unemployment"
164,UPROSE Small Business Resources (Spanish),National,jobs,business,legal,,,,,https://drive.google.com/file/d/1_Ja3ok0PupnQiASl7Bk1ri9fcakAh5NF/view?usp=sharing,"Info on small business / non-profit assistance including labor rights, benefits, taxes, and unemployment"
165,Small Business Counseling - NYSBDC,New York State,jobs,business,legal,,,,,https://drive.google.com/file/d/1_Ja3ok0PupnQiASl7Bk1ri9fcakAh5NF/view?usp=sharing,Free counseling from New York Small Business Development Center
166,NYC Small Business reopening guide,NYC,covid,business,legal,,888-SBS-4NYC,,,https://www1.nyc.gov/nycbusiness/article/reopening-guide,
167,NYC Small Business Relief,NYC,business,financial-support,,,,,,https://www1.nyc.gov/site/sbs/businesses/covid19-business-financial-assistance.page?fbclid=IwAR2guDZyMytoQRkndd8gkXLIYtlxCcMydzZN4oetCNFLcBFreQa0j8FNMwY,
168,Free face masks for small business employees,NYC,ppe,covid,,,,,,https://www1.nyc.gov/nycbusiness/article/free-face-coverings,"Free face masks, courtesy of the NYC government"
169,Free or reduced price wifi,National,utilities,tech,,,,,,https://docs.google.com/document/d/1kjVFeWefjnEfUrCR2yXxOvsp6_rDOfaMivUEiaBreiA/edit,List of internet service providers offering discounts on WiFi
170,Spectrum low income internet assistance,National,utilities,tech,,,,,,https://www.spectrum.com/browse/content/spectrum-internet-assist,Spectrum's low-cost internet program
171,“What Should I Do?” Illustrated Coronavirus Advice Flowchart.,National,mental-health,,,,,,,https://medium.com/@wendymacnaughton_7770/what-should-i-do-illustated-corona-virus-advice-flowchart-57077138a387,Flow-chart guide to what you should do if you think you have COVID-19
172,13 Coronavirus myths busted by science (long explanations),National,covid,information,,,,,,https://www.livescience.com/coronavirus-myths.html?fbclid=IwAR3F8G9iyTrp3ZuV9fOsdihQREOhEvekBu4vrxzvjPMw19bs7BgeupdQQlU,Science-informed guide to the coronavirus
173,24 Coronavirus myths explored (short explanations),National,covid,information,,,,,,https://www.medicalnewstoday.com/articles/coronavirus-myths-explored,Science-informed guide to the coronavirus
174,Brooklyn Sanctuary Support Team fundraiser for Brooklyn Immigrants,,financial-support,,,,,,,https://www.gofundme.com/f/immigrant-community-support?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet&fbclid=IwAR085UWcwDcHijDUxpnCH7J7rsp5Tn1prdxqjrm-OSOx2yfnfEiGEzdos98,
175,CAAAV cancel rent fundraiser,,financial-support,,,,,,,https://charity.gofundme.com/o/en/campaign/sashas-cancelrent-fundraiser-for-caaav/sashawijeyeratne1?utm_campaign=ocdonate&utm_medium=facebook&utm_source=crowdrise&fbclid=IwAR31wDfD35W6qIFBZ0YiPdZz2lHe-bjTy74Ddtka11QHFHwexittLF1iM78,
176,Cinema Workers in NYC,,financial-support,,,,,,,https://www.gofundme.com/f/cinema-worker-solidarity-fund,
177,Damayan Emergency fund for Filipinos in NYC,,financial-support,,,,,,,https://damayanmigrants.ourpowerbase.net/civicrm/contribute/transact?reset=1&id=5&fbclid=IwAR0j7fNxRzxP8lpGLKqZnXlA1TIoKA6wrKfPEj3wLX5MkSb55znte1ZphkA,
178,Emergency Funds for Families from Flushing International High School,,financial-support,,,,,,,https://www.gofundme.com/f/covid19-affected-family-emergency-funds?utm_source=facebook&utm_medium=social&utm_campaign=p_cp+share-sheet,
179,Flushing Queens Mutual Aid Fund,,financial-support,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSf4E9S9lr2J34lbz7VHCyLLjxoe-dz5LAEl8EalDIksQHTSNQ/viewform,
180,Laundry Workers Center covid19 relief fund for essential workers,,financial-support,,,,,,,https://laundryworkerscenter.nationbuilder.com/covid_19_emergency_response_fund,
181,Minkwon Center fund support for undocumented Koreans,,financial-support,,,,,,,https://secure.givelively.org/donate/minkwon-center-for-community-action-inc/covid-19-share-the-relief,
182,Minkwon Center Flushing Mutual Aid Fund for Flushing residents and raise up community leaders,,financial-support,,,,,,,https://secure.givelively.org/donate/minkwon-center-for-community-action-inc/flushing-mutual-aid-fund,
183,NYC relief fund for Brazilian immigrants,,financial-support,,,,,,,https://www.gofundme.com/f/coletivacao-ny?teamInvite=03nUIYpyY6yYZx8yJwbk2V6iJwD12YPSJPPsNczpcfJHAgEGcaVVU2pCqWd2bECP,
184,NYIC DACA renewal fee support,,financial-support,,,,,,,https://www.tfaforms.com/4777556,
185,Queens funds for people who lost someone due to covid19,,financial-support,,,,,,,https://www.instagram.com/p/B_iLIvsnZFv/?igshid=sobsv8bo7g8g,
186,QWAVENYC relief fund for Asian + LGBTQI folks,,financial-support,,,,,,,https://www.instagram.com/p/B99bG2oF5We/,
187,Radical Muslim Mutual Aid: COVID 19 Support,,financial-support,,,,,,,https://masjidalrabia.org/rmma-application,
188,Restaurant Workers Community Foundation Relief Fund,,financial-support,,,,,,,https://form.southernsmoke.org/smoke/application/,
189,SUSU Rapid Response support for Black Feminists,,financial-support,,,,,,,https://www.blackfeministsusu.com/susurrs?utm_source=North+Star+Fund+Email+News&utm_campaign=0e1db4d9cb-EMAIL_Cmnty_News_2020_03_29&utm_medium=email&utm_term=0_a84219a762-0e1db4d9cb-118841621&mc_cid=0e1db4d9cb&mc_eid=cd03c78ff2,
190,Transgender Emergency Fund,,financial-support,,,,,,,https://www.gofundme.com/f/transgender-people-emergency-fund-101?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet,
191,The Unplug Displacement fund for Black and Brown womxn and non binary folks,,financial-support,,,,,,,https://www.instagram.com/p/B97z9-cphqO/,
192,Undocu Womens Fund,,financial-support,,,,,,,https://www.instagram.com/undocuwomensfund/,
193,Undocumented Arabs in Queens NYC fund,,financial-support,,,,,,,https://www.gofundme.com/f/covid19-arab-mutual-aid-fund?utm_medium=copy_link&utm_source=customer&utm_campaign=p_lico+share-sheet,
194,Unlocal covid19 relief fund,,financial-support,,,,,,,https://charity.gofundme.com/o/en/campaign/unlocals-covid-19-emergency-relief-fund,
195,Weekly grants for artists,,financial-support,,,,,,,https://ilysm.typeform.com/to/rjCzYW,
196,WOC Artist Relief Fund,,financial-support,,,,,,,https://www.instagram.com/p/B9zZshtH21F/,
197,Worker Justice Project covid19 Jornalera Relief Fund,,financial-support,,,,,,,https://www3.thedatabank.com/dpg/551/spdf.asp?formid=Fundaiser&fbclid=IwAR1GQbyr6O9pE8PW0bxpK0BUDrqim8k7nfw6WNb35DQik8zCECoiP0qngg8,
198,Grants from cooperatives and LLCS who are members of ceanyc,,financial-support,,,,,,,https://gocoopnyc.com/programs/,
199,Long Island Jobs with Justice’s Solidarity Fund for families of workers facing deportation,,financial-support,,,,,,,https://longislandjwj.org/donate/solidarity-fund/?fbclid=IwAR0HB5wmyJaR7tAJInhgULIZaqd_hQZUzYCW_ZnT7adumPENB2hubPOITyQ,
200,Donate COVID-19 Survival Funds for 29 Undocumented Bangladeshis in Brooklyn,,financial-support,,,,,,,https://www.launchgood.com/project/covid19_survival_funds_for_undocumented_bangladeshis_in_brooklyn#!/,
201,Donate to La Morada restaurant so they can stay afloat,,financial-support,,,,,,,https://www.gofundme.com/f/help-save-lamorada-immigrant-restaurant?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp+share-sheet,
202,Donate to City Tamale restaurant so they can stay afloat,,financial-support,,,,,,,https://www.gofundme.com/f/1xireebapc?sharetype=teams&member=3936612&utm_medium=social&utm_source=instagram&utm_campaign=p_na+share-sheet,
203,Donate burial fund for Mexicans in NYC,,financial-support,,,,,,,https://www.gofundme.com/f/burial-fund-mexicans-in-nyc?fbclid=IwAR1AftQpOHwK5JA89q09ehefW--VxkpeIWPTxRxaKsxVRnm1FYyNFs31UeU,
204,Donate funds to undocumented transgender people in NYC,,financial-support,,,,,,,https://www.gofundme.com/f/funds-for-transgender-undocumented?utm_source=customer&utm_medium=copy_link-tip&utm_campaign=p_cp%20share-sheet&fbclid=IwAR2E4sc3ut5sSUnDxw5xmE7gP0icuiKUyNRY79djrX56kUIgg5Y7LxGDuek,
205,Donate east harlem food emergency fund,,financial-support,,,,,,,https://www.gofundme.com/f/east-harlem-food-emergency-fund?sharetype=teams&member=4320234&utm_medium=copy_link&utm_source=customer&utm_campaign=p_na+share-sheet&rcid=1fb17525bdf74f90bde68ef5a25a9ba0&fbclid=IwAR31i3VGW-MK_LHhwt25GREPB3U54f--AEvWj9v879-sNMLaL7YoOwrY9vU,
206,National the workers lab covid19 relief fund,,financial-support,,,,,,,https://www.theworkerslab.com/the-workers-fund?utm_campaign=TWF%20Launch%20Campaign&utm_content=123861273&utm_medium=social&utm_source=twitter&hss_channel=tw-2856360912,
207,"National Betancourt Macias Family Scholarship Foundation, Emergency Funds",,financial-support,,,,,,,https://www.undocuscholars.com/,
208,National Scholly relief fund for students,,financial-support,,,,,,,http://myscholly.com/relief/,
209,National Cosecha undocumented worker fund,,financial-support,,,,,,,https://secure.actblue.com/donate/cosechamutualaid?refcode=ig,
210,National Undocu Black Network Black Immigrants Fund,,financial-support,,,,,,,https://undocublack.org/donate,
211,National Farmworkers Covid19 Relief Fund,,financial-support,,,,,,,https://hipgive.org/project/farmworkers-covid-19-pandemic-relief-fund/,
212,National Nakasec’s Emergency Mutual Aid Request for Undocumented people,,financial-support,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSd9s2GGJ9u5sqbSCN77zvj2VeCAeMvnSmE-IbK5y5fxLU2FNg/viewform,
213,NYC Mayor announces small immigrant relief fund,,financial-support,,,,,,,https://www1.nyc.gov/office-of-the-mayor/news/262-20/mayor-de-blasio-new-york-city-covid-19-immigrant-emergency-relief-program-open?fbclid=IwAR10LVKjlW_PmtMc-PdQw5xUI0DBmAQk9kQ_7WES000tFDr6eZcd4rqS5mA,
187,Form to submit a complaint to the Office of the Attorney General,,housing,,,,,,,https://ag.ny.gov/uploads/tenant-harassment-prevention-task-force-complaint-form,
188,Video espanol derechos del inquilino inmigrante,,housing,,,,,,,https://www.facebook.com/80434767238/videos/239899510427885,
189,Ridgewood tenants union / Unión de Inquilinos de Ridgewood,,housing,,,,,,,http://www.ridgewoodtenantsunion.org/,
190,Attorney General know your rights for immigrant tenants,,housing,,,,,,,https://ag.ny.gov/sites/default/files/immigration_tenants_rights_web.pdf,
191,Know your rights - Housing,,housing,,,,,,,https://www.instagram.com/p/B99cK1ggMJZ/,
192,New York Legal Assistance Group infographic about housing rights at the moment,,housing,,,,,,,https://www.instagram.com/p/B-H4cQGFXi-/,
193,Toolkit housing justice for all - how to organize a rent strike,,housing,,,,,,,https://d3n8a8pro7vhmx.cloudfront.net/righttocounselnyc/pages/100/attachments/original/1585739362/RTCNYC.COVID19.4.pdf?1585739362,
194,More information about the moratorium on rent,,housing,,,,,,,https://www.righttocounselnyc.org/moratorium_faq,
195,Más información sobre el moratoria de desalojo en Nueva York,,housing,,,,,,,https://www.righttocounselnyc.org/faq_in_spanish,
196,请单击此处获取简体中文的常见问题解答,,housing,,,,,,,https://www.housingjusticeforall.org/faqs-chinese,
197,ЧАСТО ЗАДАВАЕМЫЕ ВОПРОСЫ И ОТВЕТЫ,,housing,,,,,,,https://www.housingjusticeforall.org/faq-russian,
198,Needs assistance support for NYCHA residents,,housing,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSdQEOrksiksZsWUyodjmkfNv5fUPYs2JWRh3-MOaCrhXLrfdg/viewform,
199,Tenants Rights Information Sessions,,housing,,,,,,,https://www.eventbrite.com/e/tenants-rights-information-sessions-tickets-106420095370,
200,CUNY Citinizenship Now,,DACA,undocumented-people,,,646-664-9400,citizenshipnowinfo@cuny.edu,,,Hotline for DACA recipients who need help understanding / renewing their status
201,Free DACA renewals with VOLS,,DACA,undocumented-people,,,,,,https://drive.google.com/file/d/1P9TvGeXd2HUrd_Fb2gkeQXuWafKne30v/view?usp=sharing,
202,espanol,,DACA,undocumented-people,,,,,,https://drive.google.com/file/d/1LHXKk_Vvp3I8tt1SvP6AlXxecbkepDz7/view?usp=sharing,
203,DACA updates during coronavirus,,DACA,undocumented-people,,,,,,https://www.informedimmigrant.com/guides/daca-coronavirus/?utm_source=instagram&utm_medium=social&utm_campaign=covid-19&utm_content=ii_ig#,
204,Free virtual DACA renewal clinics with make the road nj,,DACA,undocumented-people,,,,,,https://www.instagram.com/p/B-fAJJdn9Rl/,
205,BMFS foundation DACA renewal materials support,,DACA,undocumented-people,,,,,,https://www.instagram.com/p/B-v1GPiAgnX/,
206,Step by step self-renewal DACA application packet,,DACA,undocumented-people,,,,,,https://immigrantsrising.org/resource/steps-to-renew-daca/,
207,Español Actualizaciones sobre DACA durante la crisis de coronavirus,,DACA,undocumented-people,,,,,,https://www.inmigranteinformado.com/guides/daca-coronavirus/,
208,DACA renewal guidance due to coronavirus,,DACA,undocumented-people,,,,,,https://www.nilc.org/2020/04/03/daca-renewal-guidance-in-light-of-uscis-closures/,
209,Immigrants Rising Beyond DACA resource page,,DACA,undocumented-people,,,,,,https://immigrantsrising.org/start-here/beyond-daca/,
210,New Americans Hotline - NY Office,,undocumented-people,legal,,,800-566-7636,,,,
211,Criminal-Immigration Helpline,,undocumented-people,legal,,,212-725-6422,,,https://www.immigrantdefenseproject.org/criminal-immigration-helpline/,
212,Bronxworks Legal Services - immigration department,,undocumented-people,legal,,Tia Lafortune,(646) 315-0526,klafortune@bronxworks.org,,,
213,Free DACA renewals with VOLS,,legal,,,,,,,https://drive.google.com/file/d/1P9TvGeXd2HUrd_Fb2gkeQXuWafKne30v/view?usp=sharing,
214,espanol,,legal,,,,,,,https://drive.google.com/file/d/1LHXKk_Vvp3I8tt1SvP6AlXxecbkepDz7/view?usp=sharing,
215,DACA updates during coronavirus,,legal,,,,,,,https://www.informedimmigrant.com/guides/daca-coronavirus/?utm_source=instagram&utm_medium=social&utm_campaign=covid-19&utm_content=ii_ig#,
216,Free virtual DACA renewal clinics with make the road nj,,legal,,,,,,,https://www.instagram.com/p/B-fAJJdn9Rl/,
217,BMFS foundation DACA renewal materials support,,legal,,,,,,,https://www.instagram.com/p/B-v1GPiAgnX/,
218,Step by step self-renewal DACA application packet,,legal,,,,,,,https://immigrantsrising.org/resource/steps-to-renew-daca/,
219,Español Actualizaciones sobre DACA durante la crisis de coronavirus,,legal,,,,,,,https://www.inmigranteinformado.com/guides/daca-coronavirus/,
220,DACA renewal guidance due to coronavirus,,legal,,,,,,,https://www.nilc.org/2020/04/03/daca-renewal-guidance-in-light-of-uscis-closures/,
221,Immigrants Rising Beyond DACA resource page,,legal,,,,,,,https://immigrantsrising.org/start-here/beyond-daca/,
222,Helpline for people quarantined with an abuser,,abuse,crisis,,,1.800.942.6906,,,,
223,Domestic / Gender-based Violence Hotline,,abuse,crisis,,,1-800-621-4673,,,,
224,Violence Intervention Hotline (Bilingual - Esp),,abuse,crisis,,,1-800-621-4673,,,,
225,NMIC Domestic Violence Project,,abuse,crisis,mental-health,,212-822-8311,,,,Free and confidential services for victims & survivors of domestic abuse / intimate partner violence.
226,NYC COVID-19 Emotional Support Hotline,,mental-health,,,,844-863-9314,,,,
227,Men's healing group,,mental-health,,,,,book@reciprocityfoundation.org,,,Remote healing meetings for men-identifying folks. Email if interested.
228,Resources for NYC survivors Family Justice Centers and Sanctuary for Families,,mental-health,,,,,,,https://www.instagram.com/p/B97DaRSlrF2/?utm_source=ig_web_copy_link,
229,"Free or Fair Cost Online Wellness Led by People of Color, Womxn and Queer Folks",,mental-health,,,,,,,https://www.instagram.com/p/B94gmzbgmmS/,
230,Immigrants Rising Virtual Wellness Gatherings,,mental-health,,,,,,,https://immigrantsrising.org/virtual-wellness-gatherings/,
231,NYC Well - helping nyc in need,,mental-health,,,,,,,https://nycwell.cityofnewyork.us/en/,
232,Mutual Aid (NYC) Network,,mental-health,,,,,,,https://docs.google.com/document/d/1aevxXYQgeP-uJa0eSI0YYIJKZBNkn-6Rjy_fY7zpRLo/edit,
233,Minka Brooklyn Virtual Meditation and Reiki,,mental-health,,,,,,,https://www.facebook.com/MINKAbrooklyn/,
234,Transgender Law Center Virtual Gatherings,,mental-health,,,,,,,http://bit.ly/virtualgatherings,
235,Crisis Text Line,,mental-health,,,,,,,https://www.crisistextline.org/get-help/suicide?gclid=EAIaIQobChMIyN7M5eih6AIVBeiGCh0m_QHeEAAYASAAEgL9IfD_BwE,
236,Trans LifeLine,,mental-health,,,,877-565-8860,,,https://www.translifeline.org/,
237,National Suicide Prevention Lifeline,,mental-health,,,,800-273-8255,,,https://suicidepreventionlifeline.org/#,
238,The Trevor Project,,mental-health,,,,866-488-7386,,,https://www.thetrevorproject.org/#sm.00015qohet9v3fpbutf12yf2safit,"Helpline for LGBTQI+ youth, aged 13-24"
239,"The Gay, Lesbian, Bisexual and Transgender National Hotline",,mental-health,,,,888-843-4564,,,https://www.glbthotline.org/hotline.html,
240,VirusAnxiety Online Resource,,mental-health,,,,,,,https://www.virusanxiety.com/,
241,Stay at home online music festival,,mental-health,,,,,,,https://www.stayathomefest.com/,
242,NYS Office of Mental Health Hotlines,,mental-health,,,,,,,https://omh.ny.gov/omhweb/bootstrap/crisis.html,
243,Free one year subscription to the Balance App,,mental-health,,,,,,,https://www.instagram.com/p/B9w5Pp6HkV8/,
244,People of color only sliding scale card readings,,mental-health,,,,,,,https://www.instagram.com/p/B-GFqvPJpH6/,
245,We Are Rad Health Online wellness circles,,mental-health,,,,,,,https://www.instagram.com/p/B-ZxkE-pQnl/,
246,Free Meditation and Mindfulness at Headspace,,mental-health,,,,,,,https://www.headspace.com/ny,
247,Free mental health comic book,,mental-health,,,,,,,https://drive.google.com/drive/folders/1UBNsa95Cwxw-qUo1ktDBjagJM_YKEhXs,
248,"Emotional, spiritual and physical well-being resource guide",,mental-health,,,,,,,https://www.instagram.com/p/B-sgoyxHi9C/,
249,Guided Meditation - Chinese,,mental-health,,,,,,,https://youtu.be/fONClkXwHbA,
250,Guided Meditation - Spanish,,mental-health,,,,,,,https://youtu.be/SDycF-0aBWc,
251,Guided Meditation - English,,mental-health,,,,,,,https://youtu.be/sJH6_ZbgeWQ,
